year,quarter,market,is_premium_quality,total_space,available_space,internal_class_rent,direct_available_space,direct_internal_class_rent,sublet_available_space,sublet_internal_class_rent,leasing
2019,Q3,Austin,1,38276350,5642815,41.25,4936896,41.75,705919,38.65,1072321
2019,Q3,Austin,0,27947525,3367040,33.54,2827387,34.79,539653,25.83,668291
2019,Q3,Baltimore,1,41915202,7271253,26.65,6551064,26.68,720189,26.47,506669
2019,Q3,Baltimore,0,40390703,5859428,20.54,5572344,20.52,287084,20.87,477369
2019,Q3,Boston,1,135415580,18312673,39.92,14557286,39.08,3755387,43.01,1740558
2019,Q3,Boston,0,116276482,13488527,22.74,12277158,22.51,1211369,24.79,888593
2019,Q3,Charlotte,1,37428747,4352472,31.24,3837948,31.61,514524,23.97,666020
2019,Q3,Charlotte,0,27835480,2855141,23.67,2744337,23.65,110804,24.43,298228
2019,Q3,Chicago Suburbs,1,52883639,13419547,27.79,11859751,28.05,1559796,20.85,767584
2019,Q3,Chicago Suburbs,0,46517863,12149807,20.24,11435493,20.40,714314,14.29,439240
2019,Q3,Dallas-Ft. Worth,1,121831325,30984497,27.11,27349651,27.67,3634846,22.60,2636778
2019,Q3,Dallas-Ft. Worth,0,83525774,20245951,21.45,18750017,21.54,1495934,20.29,1763287
2019,Q3,Denver-Boulder,1,54569304,8697551,31.73,7180366,32.12,1517185,29.29,1179053
2019,Q3,Denver-Boulder,0,57339667,9797797,24.92,8627827,25.01,1169970,24.05,1064253
2019,Q3,Detroit,1,34533167,6212458,22.57,5245495,22.80,966963,20.67,496863
2019,Q3,Detroit,0,47272239,9178114,18.16,8811209,18.24,366905,14.49,519728
2019,Q3,Downtown Chicago,1,69687549,8993172,45.99,,,,,1937946
2019,Q3,Downtown Chicago,0,73333307,13501723,37.72,,,,,1211002
2019,Q3,Houston,1,114310896,31017293,33.65,25512125,34.63,5505168,26.54,2337002
2019,Q3,Houston,0,78051358,18918309,21.01,18087398,21.16,830911,18.06,1478138
2019,Q3,Los Angeles,1,145540870,23459724,43.67,20444143,44.25,3015581,38.28,3087428
2019,Q3,Los Angeles,0,69712027,13444806,36.62,12403565,36.51,1041241,37.53,978191
2019,Q3,Nashville,1,21176858,3196757,32.22,2567212,32.63,629545,23.32,1085293
2019,Q3,Nashville,0,22248695,2440197,26.11,2185486,26.31,254711,23.25,179860
2019,Q3,Manhattan,1,253968808,31513925,93.27,25421168,97.32,6092757,60.14,5444914
2019,Q3,Manhattan,0,200310172,18219178,62.31,13403374,62.44,4815804,60.74,3018586
2019,Q3,Northern New Jersey,1,112389052,27852116,30.27,23052531,30.46,4799585,26.71,1798209
2019,Q3,Northern New Jersey,0,33272191,5501755,23.99,5138377,23.98,363378,25.13,549428
2019,Q3,Northern Virginia,1,100499022,21556794,37.06,19656068,37.56,1900726,31.68,2614570
2019,Q3,Northern Virginia,0,50820827,9274846,29.97,8750722,30.14,524124,26.87,470307
2019,Q3,Orange County (CA),1,44186205,9079964,39.41,7536679,40.80,1543285,30.93,918978
2019,Q3,Orange County (CA),0,40699406,5644658,30.94,4851009,31.94,793649,25.35,949292
2019,Q3,Philadelphia,1,85439454,14205325,29.90,11815978,30.62,2389347,25.80,1167941
2019,Q3,Philadelphia,0,45393669,7810752,26.35,7281680,26.58,529072,21.07,546145
2019,Q3,Phoenix,1,47426856,8958687,31.79,8230109,32.14,728578,26.30,965578
2019,Q3,Phoenix,0,55988361,10890897,24.55,10349638,24.60,541259,22.25,706867
2019,Q3,Raleigh-Durham,1,33524697,4483746,28.90,3757597,28.46,726149,34.51,703955
2019,Q3,Raleigh-Durham,0,20154116,2453434,22.82,2370601,22.82,82833,24.00,347037
2019,Q3,Salt Lake City,1,20281852,1967445,26.95,1583844,28.74,383601,21.78,131639
2019,Q3,Salt Lake City,0,24556347,2385411,22.13,2181815,22.23,203596,19.25,108583
2019,Q3,San Diego,1,30643491,5198353,39.59,4603419,40.41,594934,30.90,681855
2019,Q3,San Diego,0,33118203,5515019,32.04,4533891,32.23,981128,31.04,513118
2019,Q3,San Francisco,1,47195402,2704289,88.12,1982785,90.13,721504,86.32,1616603
2019,Q3,San Francisco,0,29852718,2704576,71.95,1768613,71.26,935963,73.21,953578
2019,Q3,Seattle,1,61323447,6275292,47.12,4575879,45.43,1699413,52.69,1366985
2019,Q3,Seattle,0,51974773,6938980,29.22,5931758,29.03,1007222,30.93,638845
2019,Q3,South Bay,1,33892424,5663137,64.89,3947137,69.65,1716000,51.24,618713
2019,Q3,South Bay,0,50690473,6354161,50.78,5314055,50.81,1040106,48.76,863936
2019,Q3,South Florida,1,52962232,9820759,41.69,8602979,41.97,1217780,34.40,1083078
2019,Q3,South Florida,0,51200215,8018952,29.28,7327460,29.43,691492,25.68,692434
2019,Q3,Suburban Maryland,1,39440176,8621256,30.26,7645511,30.45,975745,27.11,402502
2019,Q3,Suburban Maryland,0,21724704,3295609,26.15,3033020,26.35,262589,25.73,114551
2019,Q3,Tampa,1,22963818,3370223,31.66,2737344,31.83,632879,26.56,438017
2019,Q3,Tampa,0,28107216,4709014,21.76,4088038,21.96,620976,18.66,453437
2019,Q3,US National,1,2036637788,356241453,40.49,,,,,41012111
2019,Q3,US National,0,1539679189,244030756,29.79,,,,,21989614
2019,Q3,Washington DC,1,78864437,11446700,60.30,9964579,62.46,1482121,46.16,1471735
2019,Q3,Washington DC,0,45020614,7580995,49.58,6749508,50.78,831487,37.40,535472
2019,Q4,Atlanta,1,104616341,21932460,31.19,19567725,31.81,2364735,23.59,1353639
2019,Q4,Atlanta,0,66568064,11669773,21.75,10774724,21.88,895049,19.94,1101666
2019,Q4,Austin,1,38276350,5839118,42.77,4915055,43.13,924063,40.88,675683
2019,Q4,Austin,0,27947525,3267189,33.90,2775951,35.42,491238,24.55,478554
2019,Q4,Baltimore,1,41915202,7232688,26.88,6532386,26.92,700302,26.42,635359
2019,Q4,Baltimore,0,40359224,5591711,20.57,5349850,20.58,241861,20.52,344594
2019,Q4,Boston,1,136348126,18363013,41.51,14643460,40.33,3719553,44.68,1951549
2019,Q4,Boston,0,116276482,14720271,22.40,13070462,21.91,1649809,27.15,781094
2019,Q4,Charlotte,1,37428747,4047971,31.61,3581500,32.16,466471,22.50,731410
2019,Q4,Charlotte,0,27822480,3228847,24.91,2973207,24.87,255640,25.51,191236
2019,Q4,Chicago Suburbs,1,53023060,13354911,27.59,11582752,27.98,1772159,20.50,995197
2019,Q4,Chicago Suburbs,0,46721851,11866981,20.36,11152765,20.47,714216,14.31,451988
2019,Q4,Dallas-Ft. Worth,1,121831325,31227455,27.24,27334634,27.86,3892821,22.79,1893093
2019,Q4,Dallas-Ft. Worth,0,83525774,19437523,21.22,17912770,21.30,1524753,20.39,1452315
2019,Q4,Denver-Boulder,1,54721040,9758296,32.21,7941457,32.46,1816839,30.54,1292269
2019,Q4,Denver-Boulder,0,57339667,9821422,24.49,8583962,24.81,1237460,21.31,931056
2019,Q4,Detroit,1,34533167,6127939,22.60,5234784,22.83,893155,20.81,364578
2019,Q4,Detroit,0,47272239,9532879,18.40,9167213,18.48,365666,14.19,516399
2019,Q4,Downtown Chicago,1,69687549,8281772,45.98,,,,,1552996
2019,Q4,Downtown Chicago,0,73391407,13409526,37.66,,,,,1285665
2019,Q4,Houston,1,114310896,30753034,33.80,25477824,34.71,5275210,26.83,1882257
2019,Q4,Houston,0,78051358,18343967,21.09,17479605,21.21,864362,19.73,1193323
2019,Q4,Los Angeles,1,145632935,23529564,44.66,20368864,45.32,3160700,38.33,2646505
2019,Q4,Los Angeles,0,69493919,12943055,36.75,11829666,36.91,1113389,34.94,1224960
2019,Q4,Nashville,1,21176858,3280032,32.03,2703643,32.42,576389,22.92,223275
2019,Q4,Nashville,0,22248695,2352614,26.33,2064789,26.38,287825,25.25,269059
2019,Q4,Manhattan,1,254558960,30535063,94.19,23574628,99.64,6960435,66.07,9393220
2019,Q4,Manhattan,0,200310172,19766988,63.66,14106445,64.15,5660543,60.55,3323773
2019,Q4,Northern New Jersey,1,112345052,27491081,30.74,23052257,30.97,4438824,25.22,1731685
2019,Q4,Northern New Jersey,0,33272191,5749166,23.88,5282054,23.90,467112,22.63,324249
2019,Q4,Northern Virginia,1,100499022,21191798,37.13,19258382,37.65,1933416,31.56,2191725
2019,Q4,Northern Virginia,0,50820827,9106016,30.66,8569968,30.85,536048,26.81,707523
2019,Q4,Orange County (CA),1,44530559,8735938,39.37,7250512,40.65,1485426,32.08,741427
2019,Q4,Orange County (CA),0,40699406,5664549,30.18,4729591,31.40,934958,25.30,590231
2019,Q4,Philadelphia,1,85817454,13820648,30.22,11569663,30.90,2250985,25.20,1442976
2019,Q4,Philadelphia,0,45393669,7867195,26.61,7324539,26.91,542656,20.82,524182
2019,Q4,Phoenix,1,47601856,8601231,31.62,7883161,32.02,718070,25.55,1064624
2019,Q4,Phoenix,0,55988361,10641777,24.50,10056770,24.59,585007,21.40,646125
2019,Q4,Raleigh-Durham,1,33749697,4305083,29.71,3803133,29.59,501950,22.29,527785
2019,Q4,Raleigh-Durham,0,20154116,2634266,22.68,2393727,22.68,240539,24.00,150109
2019,Q4,Salt Lake City,1,20281852,2057800,27.26,1557094,29.21,500706,23.04,199128
2019,Q4,Salt Lake City,0,24556347,2351166,22.01,2082545,22.21,268621,19.08,243015
2019,Q4,San Diego,1,30643491,5281667,40.15,4607801,40.93,673866,32.73,424975
2019,Q4,San Diego,0,33012845,5281374,32.86,4378204,33.07,903170,30.00,414273
2019,Q4,San Francisco,1,47195402,3757363,87.34,2134453,89.84,1622910,85.69,1244671
2019,Q4,San Francisco,0,29852718,3535417,74.50,2227999,73.39,1307418,75.80,448139
2019,Q4,Seattle,1,61659714,6658534,47.66,4626009,45.61,2032525,53.02,909199
2019,Q4,Seattle,0,51891155,6659105,29.80,5598024,29.73,1061081,30.20,674862
2019,Q4,South Bay,1,34699748,5792244,67.54,4207426,73.27,1584818,50.33,953537
2019,Q4,South Bay,0,50690473,6111970,50.16,4952780,50.51,1159190,48.59,934213
2019,Q4,South Florida,1,53111282,10334664,41.81,9185261,42.22,1149403,33.80,1162799
2019,Q4,South Florida,0,51380215,8163560,29.81,7436069,29.89,727491,27.85,644432
2019,Q4,Suburban Maryland,1,39440176,8438516,30.01,7533646,30.16,904870,27.24,396133
2019,Q4,Suburban Maryland,0,21724704,3187165,25.66,2945509,26.04,241656,24.23,102046
2019,Q4,Tampa,1,23113818,3344875,32.11,2751957,32.30,592918,25.48,594296
2019,Q4,Tampa,0,28107216,4501685,22.23,3874077,22.46,627608,19.19,637554
2019,Q4,US National,1,2041614116,355642815,41.18,,,,,40800631
2019,Q4,US National,0,1539764931,244845080,30.21,,,,,21216147
2019,Q4,Washington DC,1,78864437,11568057,60.76,9867243,63.44,1700814,44.17,1624641
2019,Q4,Washington DC,0,44891831,7437923,49.61,6494144,50.87,943779,38.54,629512
2020,Q1,Atlanta,1,105577953,22541307,32.07,20169508,32.78,2371799,24.17,1124586
2020,Q1,Atlanta,0,66616172,11972266,21.72,10989788,21.84,982478,20.09,608542
2020,Q1,Austin,1,39304932,5924551,42.95,4893966,43.14,1030585,41.95,1042494
2020,Q1,Austin,0,28065525,3403248,34.43,2915408,35.48,487840,27.69,425956
2020,Q1,Baltimore,1,41915202,7084214,26.78,6346184,26.90,738030,24.80,340764
2020,Q1,Baltimore,0,40359224,5617624,20.22,5349559,20.23,268065,19.70,338516
2020,Q1,Boston,1,136272102,19569402,48.55,16033323,48.03,3536079,46.64,1871868
2020,Q1,Boston,0,114891456,15757803,23.49,14157316,23.03,1600487,28.33,980095
2020,Q1,Charlotte,1,37571696,4399334,32.76,3896159,33.13,503175,25.98,573700
2020,Q1,Charlotte,0,27822480,3030071,25.63,2718323,25.54,311748,26.88,299010
2020,Q1,Chicago Suburbs,1,53023060,13300825,27.64,11545161,27.88,1755664,20.85,693581
2020,Q1,Chicago Suburbs,0,46652571,12883825,20.56,12051100,20.68,832725,14.15,925223
2020,Q1,Dallas-Ft. Worth,1,123423091,30591256,28.32,26483174,28.99,4108082,23.20,2037007
2020,Q1,Dallas-Ft. Worth,0,83628774,19443395,21.10,17982260,21.14,1461135,20.39,1130244
2020,Q1,Denver-Boulder,1,54929446,9942403,32.90,8045931,33.19,1896472,31.16,778647
2020,Q1,Denver-Boulder,0,57332797,9960212,25.13,8772156,25.44,1188056,21.79,719915
2020,Q1,Detroit,1,34533167,6153491,22.72,5192268,23.14,961223,19.71,176508
2020,Q1,Detroit,0,47347319,9613890,18.08,8910905,18.10,702985,15.12,999351
2020,Q1,Downtown Chicago,1,70257549,9074689,46.46,,,,,2130651
2020,Q1,Downtown Chicago,0,73436037,13454299,37.23,,,,,1585792
2020,Q1,Houston,1,114420896,31117325,33.55,26309110,34.01,4808215,26.81,3429516
2020,Q1,Houston,0,78051358,18835530,21.84,17908313,22.00,927217,19.96,885901
2020,Q1,Los Angeles,1,146673891,24412531,46.27,21210287,46.87,3202244,37.85,3055444
2020,Q1,Los Angeles,0,69572758,12870619,39.08,11773849,39.54,1096770,34.25,913896
2020,Q1,Nashville,1,21176858,3269073,32.44,2688996,32.88,580077,25.86,302294
2020,Q1,Nashville,0,22248695,2691401,26.51,2398856,26.53,292545,25.35,166589
2020,Q1,Manhattan,1,255216822,31291531,92.64,23941023,98.85,7350508,65.57,4652325
2020,Q1,Manhattan,0,199480433,20667928,64.47,14413622,65.25,6254306,59.90,3244920
2020,Q1,Northern New Jersey,1,113615306,28115119,30.24,23514625,30.50,4600494,26.10,1032386
2020,Q1,Northern New Jersey,0,34156106,6550490,23.64,5981732,23.68,568758,21.34,271602
2020,Q1,Northern Virginia,1,100499022,21526618,36.89,19683773,37.38,1842845,30.72,1975912
2020,Q1,Northern Virginia,0,50820827,9222793,30.95,8705371,31.16,517422,27.74,976935
2020,Q1,Orange County (CA),1,44530559,8899511,39.53,7441471,40.52,1458040,31.28,833190
2020,Q1,Orange County (CA),0,40699406,6058114,31.80,5070702,32.64,987412,27.61,565904
2020,Q1,Philadelphia,1,86585586,13425040,30.55,11233452,31.28,2191588,25.41,1512348
2020,Q1,Philadelphia,0,45754371,8246437,25.63,7643513,25.92,602924,20.41,1232698
2020,Q1,Phoenix,1,47745856,8284511,31.72,7411474,32.06,873037,28.01,639587
2020,Q1,Phoenix,0,56167929,10308991,24.51,9761461,24.57,547530,21.98,720079
2020,Q1,Raleigh-Durham,1,34005672,4783855,30.83,4127960,30.11,655895,36.60,572527
2020,Q1,Raleigh-Durham,0,20154116,2512879,23.43,2229106,23.44,283773,22.79,516314
2020,Q1,Salt Lake City,1,20461852,1940966,29.42,1576798,31.21,364168,22.48,337087
2020,Q1,Salt Lake City,0,24935745,2300175,21.85,1987330,22.01,312845,19.66,146968
2020,Q1,San Diego,1,30643491,5130153,42.36,4544552,43.24,585601,32.24,871928
2020,Q1,San Diego,0,33012845,5242458,34.34,4437476,35.14,804982,29.25,762610
2020,Q1,San Francisco,1,47195402,4619918,87.54,2395914,92.31,2224004,84.25,1045706
2020,Q1,San Francisco,0,29852718,3817110,76.21,2339478,77.56,1477632,74.60,527925
2020,Q1,Seattle,1,61659714,7258659,48.28,5171027,46.99,2087632,52.07,1270347
2020,Q1,Seattle,0,51891155,6727695,30.23,5822183,30.29,905512,29.82,695423
2020,Q1,South Bay,1,34699748,5375477,67.82,4183045,71.02,1192432,54.66,707084
2020,Q1,South Bay,0,50930254,6434793,50.63,4671203,50.86,1763590,49.88,897854
2020,Q1,South Florida,1,53412752,10457004,42.72,9274799,42.97,1182205,36.49,855083
2020,Q1,South Florida,0,51380215,8155007,29.79,7458155,30.00,696852,25.42,657856
2020,Q1,Suburban Maryland,1,39440176,8244904,30.38,7345593,30.51,899311,27.76,804983
2020,Q1,Suburban Maryland,0,21724704,3336923,26.27,3168997,26.54,167926,23.50,368421
2020,Q1,Tampa,1,23113818,3214213,30.91,2625230,31.37,588983,24.91,648154
2020,Q1,Tampa,0,28107216,4605080,22.64,4038466,22.72,566614,21.55,408465
2020,Q1,US National,1,2050998247,361687333,42.00,,,,,36357560
2020,Q1,US National,0,1540003196,251677655,30.93,,,,,22716489
2020,Q1,Washington DC,1,79092628,11739453,60.45,10237857,62.66,1501596,44.12,1041853
2020,Q1,Washington DC,0,44909990,7956599,50.35,7084872,50.89,871727,38.47,743485
2020,Q2,Atlanta,1,105970093,24393623,32.49,21827678,33.12,2565945,25.15,1262757
2020,Q2,Atlanta,0,66338381,11763900,22.23,10694764,22.38,1069136,20.40,353885
2020,Q2,Austin,1,40009382,6817421,43.29,5109741,43.79,1707680,40.17,574473
