,id,address,latitude,longitude
17,Atlanta_Northlake_Atlanta_Bldg 17_17 Executive Park Dr NE,"17 Executive Park Dr NE, Atlanta, GA 30329",33.82773,-84.339198
18,Atlanta_Northlake_Atlanta_Bldg 50_50 Executive Park South NE,"50 Executive Park South NE, Atlanta, GA 30329",33.827409,-84.341131
19,Atlanta_Northlake_Atlanta_Bldg 57_57 Executive Park Dr NE,"57 Executive Park Dr NE, Atlanta, GA 30329",33.827011,-84.338072
20,Atlanta_Buckhead_Atlanta_Bldg I_300 W Wieuca Rd NE,"300 W Wieuca Rd NE, Atlanta, GA 30342",33.875898,-84.377554
21,Atlanta_Downtown_Atlanta_Centennial Tower_101 Marietta St NW,"101 Marietta St NW, Atlanta, GA 30303",33.756859,-84.392183
22,Atlanta_Midtown_Atlanta_Circa 730_730 Peachtree St NE,"730 Peachtree St NE, Atlanta, GA 30308",33.774489,-84.385422
23,Atlanta_Central Perimeter_Atlanta_Concourse Corporate Center One_1 Concourse Pky NE,"1 Concourse Pky NE, Atlanta, GA 30328",33.916244,-84.353533
24,Atlanta_Central Perimeter_Atlanta_Crown Pointe_1050 Crown Pointe Pkwy,"1050 Crown Pointe Pkwy, Atlanta, GA 30338",33.931659,-84.345404
26,Atlanta_North Fulton_Alpharetta_Deerfield Point  Bldg 200_12735 Morris Road Ext,"12735 Morris Road Ext, Alpharetta, GA 30004",34.091426,-84.263887
27,Atlanta_Northwest_Atlanta_Galleria 200_200 Galleria Pky SE,"200 Galleria Pky SE, Atlanta, GA 30339",33.885859,-84.463629
28,Atlanta_Northeast_Buford_Holiday Crossing_3280 McEver Rd,"3280 McEver Rd, Buford, GA 30518",34.14674,-83.976543
29,Atlanta_Northwest_Marietta_Indian Ridge Office Park_3901 Roswell Rd,"3901 Roswell Rd, Marietta, GA 30062",33.978484,-84.437966
30,Atlanta_Central Perimeter_Atlanta_Lakeside Commons I_990 Hammond Dr NE,"990 Hammond Dr NE, Atlanta, GA 30328",33.920397,-84.355533
33,Atlanta_Buckhead_Atlanta_Lenox Center Building_3355 Lenox Rd NE,"3355 Lenox Rd NE, Atlanta, GA 30326",33.851756,-84.371441
34,Atlanta_Buckhead_Atlanta_Lenox Plaza_3384 Peachtree Rd NE,"3384 Peachtree Rd NE, Atlanta, GA 30326",33.849644,-84.365599
35,Atlanta_Downtown_Atlanta_Loudermilk Conference Center_40 NE Courtland St,"40 NE Courtland St, Atlanta, GA 30303",33.751416,-84.390963
36,Atlanta_Northwest_Marietta_Marietta Station_127 Church St,"127 Church St, Marietta, GA 30060",33.95466,-84.550374
37,Atlanta_Buckhead_Atlanta_Monarch Tower_3424 Peachtree Rd NE,"3424 Peachtree Rd NE, Atlanta, GA 30326",33.851465,-84.364763
38,Atlanta_Northlake_Tucker_Montreal Station_1841 Montreal Rd,"1841 Montreal Rd, Tucker, GA 30084",33.836713,-84.256383
39,Atlanta_Northlake_Doraville_Northgate Office Park_3610 Dekalb Technology Pky,"3610 Dekalb Technology Pky, Doraville, GA 30340",33.883135,-84.270835
40,Atlanta_Central Perimeter_Atlanta_Northridge Center II_375 Northridge Rd,"375 Northridge Rd, Atlanta, GA 30350",33.980417,-84.348257
41,Atlanta_Northeast_Norcross_Oaklake Office Center_5950 Live Oak Pky,"5950 Live Oak Pky, Norcross, GA 30093",33.91119,-84.198883
42,Atlanta_Buckhead_Atlanta_One Buckhead Plaza_3060 Peachtree Rd NW,"3060 Peachtree Rd NW, Atlanta, GA 30305",33.839574,-84.381251
43,Atlanta_Midtown_Atlanta_One Midtown Plaza_1360 Peachtree St NE,"1360 Peachtree St NE, Atlanta, GA 30309",33.791399,-84.386655
44,Atlanta_Downtown_Atlanta_One Ninety One Peachtree Tower_191 Peachtree St NE,"191 Peachtree St NE, Atlanta, GA 30303",33.759003,-84.386673
45,Atlanta_Northwest_Atlanta_One Tower Creek_3101 Towercreek Pkwy SE,"3101 Towercreek Pkwy SE, Atlanta, GA 30339",33.891406,-84.455726
47,Atlanta_Northwest_Atlanta_Paces Cumberland_2675 Paces Ferry Rd SE,"2675 Paces Ferry Rd SE, Atlanta, GA 30339",33.866453,-84.475977
49,Atlanta_Northwest_Atlanta_Paces West_2727 Paces Ferry Rd SE,"2727 Paces Ferry Rd SE, Atlanta, GA 30339",33.866294,-84.474185
50,Atlanta_North Fulton_Alpharetta_Parkway At Avalon Building Two_11720 Amberpark Dr,"11720 Amberpark Dr, Alpharetta, GA 30009",34.068823,-84.278998
51,Atlanta_Buckhead_Atlanta_Peachtree 25th_1718-1720 NW Peachtree St,"1718-1720 NW Peachtree St, Atlanta, GA 30309",33.777411,-84.387296
53,Atlanta_Northeast_Duluth_Peachtree Crest Office Center_1810 Peachtree Industrial Blvd,"1810 Peachtree Industrial Blvd, Duluth, GA 30097",34.02927,-84.10794
54,Atlanta_Northeast_Peachtree Corners_Peachtree Ridge_3500 Parkway Ln,"3500 Parkway Ln, Peachtree Corners, GA 30092",33.959037,-84.233097
55,Atlanta_Buckhead_Atlanta_Piedmont Center 14_3565 Piedmont Rd NE,"3565 Piedmont Rd NE, Atlanta, GA 30305",33.852328,-84.378771
56,Atlanta_Buckhead_Atlanta_Piedmont Center 912_3495 Piedmont Rd NE,"3495 Piedmont Rd NE, Atlanta, GA 30305",33.85258,-84.375362
57,Atlanta_Northwest_Atlanta_Powers Ferry Landing West_6445 Powers Ferry Rd NW,"6445 Powers Ferry Rd NW, Atlanta, GA 30339",33.904334,-84.433424
58,Atlanta_Midtown_Atlanta_Promenade Tower_1230 Peachtree St NE,"1230 Peachtree St NE, Atlanta, GA 30309",33.787899,-84.385113
59,Atlanta_Northwest_Kennesaw_Ravine Two_600 TownPark Ln,"600 TownPark Ln, Kennesaw, GA 30144",34.039501,-84.56984
61,Atlanta_Buckhead_Atlanta_Resurgens Plaza_945 E Paces Ferry Rd NE,"945 E Paces Ferry Rd NE, Atlanta, GA 30326",33.846634,-84.356021
62,Atlanta_Northwest_Atlanta_RiverEdge One_5500 Interstate N Pky NW,"5500 Interstate N Pky NW, Atlanta, GA 30328",33.905761,-84.435814
63,Atlanta_Northwest_Atlanta_Riveredge Place_2000 Riveredge Pky NW,"2000 Riveredge Pky NW, Atlanta, GA 30328",33.906171,-84.438149
64,Atlanta_Central Perimeter_Atlanta_Roswell North_8010 Roswell Rd,"8010 Roswell Rd, Atlanta, GA 30350",33.974591,-84.356419
65,Atlanta_North Fulton_Alpharetta_Royal Professional Bldg_3005 Royal Blvd S,"3005 Royal Blvd S, Alpharetta, GA 30022",34.0542,-84.272491
66,Atlanta_Northeast_Peachtree Corners_Technology ParkAtlanta  Bldg 25_25 Technology Pky S,"25 Technology Pky S, Peachtree Corners, GA 30092",33.95918,-84.21726
67,Atlanta_Northeast_Peachtree Corners_Technology ParkAtlanta  Bldg 5655_5655 Peachtree Pky,"5655 Peachtree Pky, Peachtree Corners, GA 30092",33.96548,-84.22567
68,Atlanta_Buckhead_Atlanta_Terminus 100_3280 Peachtree Rd NE,"3280 Peachtree Rd NE, Atlanta, GA 30305",33.844611,-84.371153
70,Atlanta_Downtown_Atlanta_The Hurt Building_50 Hurt Plz SE,"50 Hurt Plz SE, Atlanta, GA 30303",33.754257,-84.38719
74,Atlanta_North Fulton_Alpharetta_The Park at Windward Concourse_1725 Windward Concourse,"1725 Windward Concourse, Alpharetta, GA 30005",34.10412,-84.24034
75,Atlanta_Northwest_Atlanta_The Triangle Building_1775 The Exchange SE,"1775 The Exchange SE, Atlanta, GA 30339",33.91044,-84.479677
76,Atlanta_Buckhead_Atlanta_Tower Place 100_3340 Peachtree Rd NE,"3340 Peachtree Rd NE, Atlanta, GA 30326",33.847504,-84.371013
77,Atlanta_Buckhead_Chamblee_Trackside Chamblee  Building 100_5170 Peachtree Rd,"5170 Peachtree Rd, Chamblee, GA 30341",33.888015,-84.308522
78,Atlanta_Northlake_Decatur_Two Decatur Town Center_125 Clairemont Ave,"125 Clairemont Ave, Decatur, GA 30030",33.776707,-84.296017
79,Atlanta_Midtown_Atlanta_Two Midtown Plaza_1349 W Peachtree St NW,"1349 W Peachtree St NW, Atlanta, GA 30309",33.791657,-84.387415
80,Atlanta_North Fulton_Alpharetta_Windward Chase 300_1220 Old Alpharetta Rd,"1220 Old Alpharetta Rd, Alpharetta, GA 30005",34.10409,-84.206646
81,Atlanta_Northwest_Smyrna_Windy Hill Joint Venture_1640 Roswell St SE,"1640 Roswell St SE, Smyrna, GA 30080",33.890198,-84.504959
82,Atlanta_Midtown_Atlanta_NA_10 10th St,"10 10th St, Atlanta, GA 30309",33.781793,-84.387071
83,Atlanta_Central Perimeter_Sandy Springs_NA_1010 Huntcliff,"1010 Huntcliff, Sandy Springs, GA 30350",33.993359,-84.352541
84,Atlanta_Northlake_Atlanta_NA_1075 Zonolite Rd NE,"1075 Zonolite Rd NE, Atlanta, GA 30306",33.80729,-84.345544
85,Atlanta_Northlake_Atlanta_NA_2300 Henderson Mill Rd NE,"2300 Henderson Mill Rd NE, Atlanta, GA 30345",33.852732,-84.259928
86,Atlanta_Northeast_Duluth_NA_2405 Satellite Blvd,"2405 Satellite Blvd, Duluth, GA 30096",33.975224,-84.094238
87,Atlanta_Northwest_Marietta_NA_2501 E Piedmont Rd,"2501 E Piedmont Rd, Marietta, GA 30062",34.011152,-84.491178
88,Atlanta_Northlake_Atlanta_NA_2600 Century Pky NE,"2600 Century Pky NE, Atlanta, GA 30345",33.847905,-84.305749
89,Atlanta_Central Perimeter_Atlanta_NA_41 Perimeter Ctr E,"41 Perimeter Ctr E, Atlanta, GA 30346",33.924244,-84.331105
91,Atlanta_Northlake_Decatur_NA_4319 Covington Hwy,"4319 Covington Hwy, Decatur, GA 30035",33.748988,-84.227398
92,Atlanta_Central Perimeter_Atlanta_NA_47 Perimeter Ctr E,"47 Perimeter Ctr E, Atlanta, GA 30346",33.923625,-84.33162
94,Atlanta_South Atlanta_College Park_NA_510 Plaza Dr,"510 Plaza Dr, College Park, GA 30349",33.620091,-84.406127
95,Atlanta_South Atlanta_Tyrone_NA_602 Dogwood Trl,"602 Dogwood Trl, Tyrone, GA 30290",33.453835,-84.589926
96,Atlanta_Northeast_Peachtree Corners_NA_6025 The Corners Pky,"6025 The Corners Pky, Peachtree Corners, GA 30092",33.952988,-84.238356
97,Atlanta_Northeast_Peachtree Corners_NA_6525 The Corners Pky,"6525 The Corners Pky, Peachtree Corners, GA 30092",33.957185,-84.235533
99,Atlanta_Midtown_Atlanta_NA_763-765 Trabert Ave NW,"763-765 Trabert Ave NW, Atlanta, GA 30318",33.794213,-84.406545
100,Austin_CBD_Austin_100 Congress_100 Congress Ave,"100 Congress Ave, Austin, TX 78701",30.263996,-97.744929
102,Austin_CBD_Austin_400 West_400 W 15th St,"400 W 15th St, Austin, TX 78701",30.278538,-97.743244
103,Austin_CBD_Austin_500 West 2nd Street_500 W 2nd St,"500 W 2nd St, Austin, TX 78701",30.265969,-97.749179
104,Austin_CBD_Austin_6776 Ingram Rd_600 Congress Ave,"600 Congress Ave, Austin, TX 78701",30.268425,-97.743112
106,Austin_Central_Austin_7600 Burnet_7600 Burnet Rd,"7600 Burnet Rd, Austin, TX 78757",30.353149,-97.73374
108,Austin_Northeast_Austin_8000 Centre Park Dr_8000 Centre Park Dr,"8000 Centre Park Dr, Austin, TX 78754",30.333674,-97.678883
109,Austin_CBD_Austin_816 Congress_816 Congress Ave,"816 Congress Ave, Austin, TX 78701",30.270645,-97.74242
110,Austin_North_Austin_9415 Burnet_9415 Burnet Rd,"9415 Burnet Rd, Austin, TX 78758",30.377857,-97.724744
111,Austin_Northwest_Austin_Austin Innovation Park II_6801 Capital Of Texas Hwy N,"6801 Capital Of Texas Hwy N, Austin, TX 78731",30.367951,-97.78795
112,Austin_South_Austin_Barton Oaks Plaza II_901 S MoPac Expy,"901 S MoPac Expy, Austin, TX 78746",30.265592,-97.780038
113,Austin_South_Austin_Barton Oaks Plaza III_901 S Mopac Expy,"901 S Mopac Expy, Austin, TX 78746",30.265592,-97.780038
115,Austin_CBD_Austin_Brazos Place OfficeRetail Portion_800 Brazos St,"800 Brazos St, Austin, TX 78701",30.269909,-97.741052
117,Austin_South_Austin_Brodie Oaks Professional Plaza_4029 S Capital Of Texas Hwy,"4029 S Capital Of Texas Hwy, Austin, TX 78704",30.238415,-97.796673
118,Austin_Central_Austin_Building F_7801 N Lamar Blvd,"7801 N Lamar Blvd, Austin, TX 78752",30.345047,-97.712121
119,Austin_Northwest_Austin_Canyon Hills Office Center_11211 Taylor Draper Ln,"11211 Taylor Draper Ln, Austin, TX 78759",30.410288,-97.748686
120,Austin_Southeast_Austin_Capital Vista_2211 IH-35 S,"2211 IH-35 S, Austin, TX 78741",30.234735,-97.739544
122,Austin_Southwest_Austin_CityView Center_1122 S Capital of Texas Hwy,"1122 S Capital of Texas Hwy, Austin, TX 78746",30.281115,-97.824808
123,Austin_North_Austin_Executive Plaza_14205 N Mo Pac Expy,"14205 N Mo Pac Expy, Austin, TX 78728",30.468917,-97.70207
125,Austin_West Central_Austin_Franklin Square_3724 Jefferson St,"3724 Jefferson St, Austin, TX 78731",30.309332,-97.751339
127,Austin_CBD_Austin_Frost Bank Tower_401 Congress Ave,"401 Congress Ave, Austin, TX 78701",30.266623,-97.742865
128,Austin_South_Austin_Gaines Ranch Office Building 3_4425 MoPac Expy S,"4425 MoPac Expy S, Austin, TX 78735",30.23962,-97.8149
129,Austin_Northwest_Austin_Gateway Center_5929 Balcones Dr,"5929 Balcones Dr, Austin, TX 78731",30.342309,-97.75364
130,Austin_South_Austin_Greenbelt Plaza II_3801 S Capital Of Texas Hwy,"3801 S Capital Of Texas Hwy, Austin, TX 78704",30.242746,-97.798454
131,Austin_Round Rock_Round Rock_La Frontera Plaza_2700 La Frontera Blvd,"2700 La Frontera Blvd, Round Rock, TX 78681",30.481431,-97.686225
132,Austin_Northeast_Austin_Lakes at Techridge Building C_14400 The Lakes Blvd,"14400 The Lakes Blvd, Austin, TX 78728",30.42845,-97.66828
133,Austin_Central_Austin_Lamar Towers_7703 N Lamar Blvd,"7703 N Lamar Blvd, Austin, TX 78752",30.344626,-97.712879
134,Austin_Southwest_Austin_Las Cimas IV_900 S Capital Of Texas Hwy,"900 S Capital Of Texas Hwy, Austin, TX 78746",30.2878,-97.829659
135,Austin_CBD_Austin_Lavaca Plaza_504 Lavaca St,"504 Lavaca St, Austin, TX 78701",30.268205,-97.745876
137,Austin_Central_Austin_Nob Hill_2520 Longview St,"2520 Longview St, Austin, TX 78705",30.29076,-97.750886
138,Austin_Northwest_Austin_Northpoint Center I_6836 Austin Center Blvd,"6836 Austin Center Blvd, Austin, TX 78731",30.351228,-97.752165
139,Austin_Southwest_Austin_Parkway at Oak Hill Two_4801 Southwest Pky,"4801 Southwest Pky, Austin, TX 78735",30.239854,-97.834938
141,Austin_Southwest_Austin_Plaza 290_5316 Hwy 290 W,"5316 Hwy 290 W, Austin, TX 78735",30.237596,-97.835279
142,Austin_Northwest_Austin_Quarry Lake II_4516 Seton Center Pky,"4516 Seton Center Pky, Austin, TX 78759",30.40132,-97.741576
143,Austin_Central_Austin_Reunion Park 1_8501 N Mopac Expy,"8501 N Mopac Expy, Austin, TX 78759",30.37141,-97.73995
145,Austin_Northeast_Austin_Revive_1033 La Posada Dr,"1033 La Posada Dr, Austin, TX 78752",30.325095,-97.70172
146,Austin_Northwest_Austin_River Place  Building I_6500 River Place Blvd,"6500 River Place Blvd, Austin, TX 78730",30.39212,-97.84864
147,Austin_Northwest_Austin_River Place  Building II_6500 River Place Blvd,"6500 River Place Blvd, Austin, TX 78730",30.39212,-97.84864
148,Austin_CBD_Austin_Scarbrough Building_522 N Congress Ave,"522 N Congress Ave, Austin, TX 78701",30.271061,-97.741692
149,Austin_South_Austin_Summit Point_2512 S Interstate 35 S,"2512 S Interstate 35 S, Austin, TX 78704",30.231733,-97.743283
153,Austin_Northwest_Austin_Synergy Plaza North_11940 Jollyville Rd,"11940 Jollyville Rd, Austin, TX 78759",30.42531,-97.7581
154,Austin_South_Austin_Terrace 1_2600 Via Fortuna,"2600 Via Fortuna, Austin, TX 78746",30.25401,-97.800352
155,Austin_South_Austin_The Corners I Office Bldg_3001 S Lamar Blvd,"3001 S Lamar Blvd, Austin, TX 78704",30.242101,-97.782759
156,Austin_Southwest_Austin_The Overlook_4330 Gaines Ranch Loop,"4330 Gaines Ranch Loop, Austin, TX 78735",30.242326,-97.815145
157,Austin_Southwest_Austin_The Schoolyard_4201 Bee Caves Rd,"4201 Bee Caves Rd, Austin, TX 78746",30.284196,-97.81236
158,Austin_Northwest_Austin_The Stratum  Building A_11044 Research Blvd,"11044 Research Blvd, Austin, TX 78759",30.404958,-97.746425
159,Austin_Southwest_Austin_The Y at 71 Professional Building_7700 W Highway 71,"7700 W Highway 71, Austin, TX 78735",30.242519,-97.881656
160,Austin_CBD_Austin_Third  Shoal_607 W 3rd St,"607 W 3rd St, Austin, TX 78701",30.266703,-97.749896
162,Austin_Far Northwest_Austin_Tower of the Hills_13809 Research Blvd,"13809 Research Blvd, Austin, TX 78750",30.4643,-97.794174
163,Austin_Central_Austin_University Park_3300 N Interstate 35,"3300 N Interstate 35, Austin, TX 78705",30.29123,-97.722757
166,Austin_Southwest_Austin_Wild Basin I_110 Wild Basin Rd S,"110 Wild Basin Rd S, Austin, TX 78746",30.306565,-97.827875
167,Austin_Southwest_Austin_Wild Basin II_108 Wild Basin Rd,"108 Wild Basin Rd, Austin, TX 78746",30.306782,-97.826644
168,Austin_Northwest_Austin_Wind River Office Park_11615 Angus Rd,"11615 Angus Rd, Austin, TX 78759",30.413905,-97.743635
169,Austin_North_Austin_NA_10711 Burnet Rd,"10711 Burnet Rd, Austin, TX 78758",30.392405,-97.720753
170,Austin_East_Austin_NA_1106 Clayton Ln,"1106 Clayton Ln, Austin, TX 78723",30.319151,-97.700412
173,Austin_CBD_Austin_NA_1300 Guadalupe St,"1300 Guadalupe St, Austin, TX 78701",30.276463,-97.743863
174,Austin_CBD_Austin_NA_814 San Jacinto Blvd,"814 San Jacinto Blvd, Austin, TX 78701",30.270005,-97.739662
177,Baltimore_Towson_Baltimore_1416 Clarkview Rd_6300 Blair Hill Ln,"6300 Blair Hill Ln, Baltimore, MD 21209",39.381159,-76.65785
178,Baltimore_Howard County_Columbia_50 Corporate Ct_10500 Little Patuxent Pky,"10500 Little Patuxent Pky, Columbia, MD 21044",39.211925,-76.864403
179,Baltimore_Baltimore City South_Baltimore_701 Aliceanna St_100 International Dr,"100 International Dr, Baltimore, MD 21202",39.282672,-76.601619
180,Baltimore_CBD_Baltimore_729 East Pratt_729 E Pratt St,"729 E Pratt St, Baltimore, MD 21202",39.28659,-76.604234
181,Baltimore_CBD_Baltimore_750 East Pratt_750 E Pratt St,"750 E Pratt St, Baltimore, MD 21202",39.287095,-76.605374
182,Baltimore_Howard County_Columbia_9520 Berger Rd_9520 Berger Rd,"9520 Berger Rd, Columbia, MD 21046",39.174527,-76.841984
183,Baltimore_Anne Arundel_Hanover_Arundel Mills Corporate Park Building I_7556 Teague Rd,"7556 Teague Rd, Hanover, MD 21076",39.153965,-76.719876
184,Baltimore_Reisterstown Rd Corridor_Owings Mills_BECO Towers I_10451 Mill Run Cir,"10451 Mill Run Cir, Owings Mills, MD 21117",39.4056,-76.793662
185,Baltimore_Baltimore City South_Baltimore_Brewers HillNatty Boh Tower_3600 O'Donnell St,"3600 O'Donnell St, Baltimore, MD 21224",39.281022,-76.566504
186,Baltimore_Howard County_Columbia_Columbia 100 Corporate Center_8820 Columbia 100 Pky,"8820 Columbia 100 Pky, Columbia, MD 21045",39.230541,-76.81315
187,Baltimore_Towson_Towson_Court Towers_210 W Pennsylvania Ave,"210 W Pennsylvania Ave, Towson, MD 21204",39.401259,-76.607858
189,Baltimore_Howard County_Columbia_Crestpointe Corporate Ctr_7055 Samuel Morse Dr,"7055 Samuel Morse Dr, Columbia, MD 21046",39.169124,-76.810586
190,Baltimore_Howard County_Columbia_Crestpointe Corporate Ctr_7075 Samuel Morse Dr,"7075 Samuel Morse Dr, Columbia, MD 21046",39.168053,-76.809401
191,Baltimore_Howard County_Columbia_Crestpointe Corporate Ctr  Bldg C_7090 Samuel Morse Dr,"7090 Samuel Morse Dr, Columbia, MD 21046",39.16869,-76.81351
193,Baltimore_BWI_Glen Burnie_Cromwell Business Park D_898 Airport Park Rd,"898 Airport Park Rd, Glen Burnie, MD 21061",39.173566,-76.644379
194,Baltimore_Howard County_Columbia_Crystal Heights Off Ctr South Building_10015 Old Columbia Rd,"10015 Old Columbia Rd, Columbia, MD 21046",39.173517,-76.858361
195,Baltimore_Reisterstown Rd Corridor_Owings Mills_Dolfield Office Park_300 Redland Ct,"300 Redland Ct, Owings Mills, MD 21117",39.424641,-76.81129
197,Baltimore_Reisterstown Rd Corridor_Owings Mills_Dolfield Office Park_400 Redland Ct,"400 Redland Ct, Owings Mills, MD 21117",39.424288,-76.812905
198,Baltimore_Howard County_Elkridge_Dorsey Business Ctr Bldg I_6855 Deerpath Rd,"6855 Deerpath Rd, Elkridge, MD 21075",39.180953,-76.748771
199,Baltimore_Towson_Towson_Dulaney Center II_901 Dulaney Valley Rd,"901 Dulaney Valley Rd, Towson, MD 21204",39.406897,-76.600617
200,Baltimore_BWI_Linthicum_Empire Airport North_839 Elkridge Landing Rd,"839 Elkridge Landing Rd, Linthicum, MD 21090",39.197665,-76.687495
201,Baltimore_Route 2 Corridor_Glen Burnie_Empire Towers_7310 Ritchie Hwy,"7310 Ritchie Hwy, Glen Burnie, MD 21061",39.171395,-76.620594
202,Baltimore_Route 83 Corridor_Hunt Valley_Executive Plaza I_11350 McCormick Rd,"11350 McCormick Rd, Hunt Valley, MD 21031",39.49397,-76.660478
203,Baltimore_Howard County_Ellicott City_Howard County Executive Ctr_3300 N Ridge Rd,"3300 N Ridge Rd, Ellicott City, MD 21043",39.280123,-76.817543
205,Baltimore_Howard County_Ellicott City_Howard County Executive Ctr II_3290 North Ridge Rd,"3290 North Ridge Rd, Ellicott City, MD 21043",39.280954,-76.818348
206,Baltimore_Reisterstown Rd Corridor_Owings Mills_Painters Mill Professional Center_110 Painters Mill Rd,"110 Painters Mill Rd, Owings Mills, MD 21117",39.411797,-76.778819
207,Baltimore_Towson_Towson_The Chesdel Bldg_101 E Chesapeake Ave,"101 E Chesapeake Ave, Towson, MD 21286",39.399399,-76.601059
208,Baltimore_Anne Arundel_Annapolis_The Offices at Annapolis Towne Centre_1906 Towne Centre Blvd,"1906 Towne Centre Blvd, Annapolis, MD 21401",38.981479,-76.541068
209,Baltimore_BWI_Linthicum_Woodlands Park I_1302 Concourse Dr,"1302 Concourse Dr, Linthicum, MD 21090",39.20721,-76.689436
211,Baltimore_BWI_Linthicum_Woodlands Park III_1306 Concourse Dr,"1306 Concourse Dr, Linthicum, MD 21090",39.20812,-76.688163
212,Baltimore_CBD_Baltimore_NA_1 E Pratt St,"1 E Pratt St, Baltimore, MD 21202",39.28604,-76.614331
213,Baltimore_Route 83 Corridor_Sparks_NA_10 Fila Way,"10 Fila Way, Sparks, MD 21152",39.511567,-76.642408
215,Baltimore_Baltimore County East_Baltimore_NA_1105 North Point Blvd,"1105 North Point Blvd, Baltimore, MD 21224",39.289326,-76.506867
216,Baltimore_Baltimore County East_Baltimore_NA_5024 Campbell Blvd,"5024 Campbell Blvd, Baltimore, MD 21236",39.3742,-76.456389
217,Baltimore_Towson_Towson_NA_600 Washington Ave,"600 Washington Ave, Towson, MD 21204",39.402219,-76.605448
218,Baltimore_Howard County_Columbia_NA_6990 Columbia Gateway Dr,"6990 Columbia Gateway Dr, Columbia, MD 21046",39.17848,-76.80169
219,Baltimore_Baltimore County West_Baltimore_NA_7265 Windsor Blvd,"7265 Windsor Blvd, Baltimore, MD 21244",39.33315,-76.75704
220,Boston_Back Bay_Boston_1 Exeter Plaza_699 Boylston St,"699 Boylston St, Boston, MA 2116",42.349917,-71.079342
222,Boston_Route 128 South_Braintree_1 Rockdale St_45 Braintree Hill Office Park,"45 Braintree Hill Office Park, Braintree, MA 2184",42.227768,-71.025405
223,Boston_Financial District_Boston_100 Cambridge Street_100 Cambridge St,"100 Cambridge St, Boston, MA 2114",42.374233,-71.03907
224,Boston_Route 128 North_Beverly_100 Cummings Center_100 Cummings Ctr,"100 Cummings Ctr, Beverly, MA 1915",42.558994,-70.886289
225,Boston_Back Bay_Boston_120 Saint James Ave_200 Clarendon St,"200 Clarendon St, Boston, MA 2116",42.349268,-71.075121
228,Boston_Route 128 North_Burlington_15 Blue Sky Dr_15 Network Dr,"15 Network Dr, Burlington, MA 1803",42.493832,-71.230288
229,Boston_Neighborhoods District_Boston_155 Friend St_60 Canal St,"60 Canal St, Boston, MA 2114",42.374233,-71.03907
230,Boston_Route 128 North_Burlington_17 New England Executive Park_1700 District Ave,"1700 District Ave, Burlington, MA 1803",42.48402,-71.20791
231,Boston_Neighborhoods District_Boston_2 Edinboro St_109-129 Kingston St,"109-129 Kingston St, Boston, MA 2111",42.352319,-71.05955
232,Boston_Route 495 North East_Andover_2 Technology Dr_2 Tech Dr,"2 Tech Dr, Andover, MA 1810",42.688789,-71.21139
234,Boston_Back Bay_Boston_238 Huntington Ave_236 Huntington Ave,"236 Huntington Ave, Boston, MA 2115",42.342967,-71.084148
237,Boston_Financial District_Boston_24 School St_10-24 School St,"10-24 School St, Boston, MA 2108",42.35735,-71.0586
